,YTID,start_seconds,end_seconds,positive_labels,tags_k,tags,num_keys,num_tags
2735,676jJ4ro9J8,40.0,50.0,"/m/025wky1,/m/09x0r","['/m/025wky1', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
2736,67FjpfikLT8,40.0,50.0,"/m/08p9q4,/m/0c1dj","['/m/08p9q4', '/m/0c1dj']","['Channel environment and background', 'Source-ambiguous sounds']",2,2
2737,67S7s_jFXhc,30.0,40.0,"/m/04rlf,/m/06j6l","['/m/04rlf', '/m/06j6l']","['Music', 'Music']",2,2
2738,67kp76gnDpI,30.0,40.0,"/m/02mk9,/m/04rlf,/m/07q2z82,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00066","['/m/02mk9', '/m/04rlf', '/m/07q2z82', '/m/07yv9', '/m/09x0r', '/m/0k4j', '/t/dd00066']","['Sounds of things', 'Music', 'Sounds of things', 'Sounds of things', 'Human Sounds', 'Sounds of things', 'Sounds of things']",7,7
2739,67m0XRgG4DU,0.0,10.0,/m/03cl9h,['/m/03cl9h'],['Sounds of things'],1,1
2740,67oGNf0jTIU,30.0,40.0,/t/dd00005,['/t/dd00005'],['Human Sounds'],1,1
2741,6807299U5eg,490.0,500.0,"/m/015lz1,/m/015vgc,/m/028sqc,/m/04rlf","['/m/015lz1', '/m/015vgc', '/m/028sqc', '/m/04rlf']","['Human Sounds', 'Music', 'Music', 'Music']",4,4
2742,68C8YlnegOM,30.0,40.0,/m/07bjf,['/m/07bjf'],['Sounds of things'],1,1
2743,68DacKw1hlE,80.0,90.0,"/m/04rlf,/m/064t9,/t/dd00035","['/m/04rlf', '/m/064t9', '/t/dd00035']","['Music', 'Music', 'Music']",3,3
2744,68HVZzEravA,30.0,40.0,"/m/01bjv,/m/07yv9,/m/09x0r","['/m/01bjv', '/m/07yv9', '/m/09x0r']","['Sounds of things', 'Sounds of things', 'Human Sounds']",3,3
2745,68qaX3ZoZek,30.0,40.0,"/m/01rd7k,/m/025rv6n,/m/07svc2k","['/m/01rd7k', '/m/025rv6n', '/m/07svc2k']","['Animal', 'Animal', 'Animal']",3,3
2746,68qvHxql5OY,240.0,250.0,"/m/07qc9xj,/m/09x0r","['/m/07qc9xj', '/m/09x0r']","['Source-ambiguous sounds', 'Human Sounds']",2,2
2747,695nvt2cbP8,30.0,40.0,"/m/07q4ntr,/m/09x0r","['/m/07q4ntr', '/m/09x0r']","['Human Sounds', 'Human Sounds']",2,2
2748,69aQWOcvmoI,30.0,40.0,"/m/06mb1,/m/07qwyj0,/m/07r10fb","['/m/06mb1', '/m/07qwyj0', '/m/07r10fb']","['Natural Sounds', 'Source-ambiguous sounds', 'Natural Sounds']",3,3
2749,69dKhidkKso,70.0,80.0,"/m/09x0r,/t/dd00013,/t/dd00125","['/m/09x0r', '/t/dd00013', '/t/dd00125']","['Human Sounds', 'Human Sounds', 'Channel environment and background']",3,3
2750,69tcopJWwrY,280.0,290.0,"/m/04rlf,/m/07pws3f","['/m/04rlf', '/m/07pws3f']","['Music', 'Source-ambiguous sounds']",2,2
2751,6AHbVLi1-0M,30.0,40.0,/m/02cjck,['/m/02cjck'],['Music'],1,1
2752,6AS6ZZnbvpA,20.0,30.0,"/m/06xkwv,/m/07rcgpl","['/m/06xkwv', '/m/07rcgpl']","['Channel environment and background', 'Source-ambiguous sounds']",2,2
2753,6Arh0pb7Pi4,40.0,50.0,/m/0242l,['/m/0242l'],['Sounds of things'],1,1
2754,6AyumUbU3VM,30.0,40.0,"/m/09x0r,/t/dd00018","['/m/09x0r', '/t/dd00018']","['Human Sounds', 'Animal']",2,2
2755,6BMYu02B24w,30.0,40.0,"/m/07r_80w,/m/09d5_","['/m/07r_80w', '/m/09d5_']","['Animal', 'Animal']",2,2
2756,6C0HoQe4Y-Y,160.0,170.0,"/m/015lz1,/m/04rlf,/m/04szw,/m/0y4f8","['/m/015lz1', '/m/04rlf', '/m/04szw', '/m/0y4f8']","['Human Sounds', 'Music', 'Music', 'Music']",4,4
2757,6CMuetWUPgo,150.0,160.0,/m/07rdhzs,['/m/07rdhzs'],['Source-ambiguous sounds'],1,1
2758,6CUrhBAzLTo,100.0,110.0,/m/0fqfqc,['/m/0fqfqc'],['Sounds of things'],1,1
2759,6CUxiEIMfR4,160.0,170.0,"/m/07qc9xj,/m/09x0r,/t/dd00125","['/m/07qc9xj', '/m/09x0r', '/t/dd00125']","['Source-ambiguous sounds', 'Human Sounds', 'Channel environment and background']",3,3
2760,6CXAAwuR0Pg,21.0,31.0,"/m/04rlf,/m/07bjf","['/m/04rlf', '/m/07bjf']","['Music', 'Sounds of things']",2,2
2761,6Cm1iI8re0Y,50.0,60.0,"/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t","['/m/025rv6n', '/m/07qn5dc', '/m/07st89h', '/m/09b5t']","['Animal', 'Animal', 'Animal', 'Animal']",4,4
2762,6CmN6U_9qI4,30.0,40.0,"/m/02rhddq,/m/07r04,/m/07yv9","['/m/02rhddq', '/m/07r04', '/m/07yv9']","['Sounds of things', 'Sounds of things', 'Sounds of things']",3,3
2763,6CrgtLx-040,30.0,40.0,"/m/04rlf,/t/dd00006","['/m/04rlf', '/t/dd00006']","['Music', 'Human Sounds']",2,2
2764,6Cvxxf0Zv-k,30.0,40.0,"/m/016cjb,/m/04rlf","['/m/016cjb', '/m/04rlf']","['Music', 'Music']",2,2
2765,6CwWZlzJ9rU,30.0,40.0,/m/07qv4k0,['/m/07qv4k0'],['Source-ambiguous sounds'],1,1
2766,6D6wLmnNpY8,120.0,130.0,"/m/09ddx,/m/0dbvp","['/m/09ddx', '/m/0dbvp']","['Animal', 'Animal']",2,2
2767,6DTuDIXEJx0,30.0,40.0,"/m/04rlf,/m/0c2wf","['/m/04rlf', '/m/0c2wf']","['Music', 'Sounds of things']",2,2
2768,6DaAjyPOInQ,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00001,/t/dd00125","['/m/04rlf', '/m/09x0r', '/t/dd00001', '/t/dd00125']","['Music', 'Human Sounds', 'Human Sounds', 'Channel environment and background']",4,4
2769,6EM0o9xzXRs,520.0,530.0,"/m/02y_763,/m/09x0r,/t/dd00125","['/m/02y_763', '/m/09x0r', '/t/dd00125']","['Sounds of things', 'Human Sounds', 'Channel environment and background']",3,3
2770,6EMOL2FQLkk,320.0,330.0,"/m/01d380,/m/07k1x,/m/0_ksk","['/m/01d380', '/m/07k1x', '/m/0_ksk']","['Sounds of things', 'Sounds of things', 'Sounds of things']",3,3
2771,6EOz2x25dZs,60.0,70.0,"/m/025rv6n,/m/07qwf61,/m/0dbvp","['/m/025rv6n', '/m/07qwf61', '/m/0dbvp']","['Animal', 'Animal', 'Animal']",3,3
2772,6EV8sCAySvw,40.0,50.0,"/m/01b82r,/m/083vt","['/m/01b82r', '/m/083vt']","['Sounds of things', 'Sounds of things']",2,2
2773,6F3YIb0Uw4I,30.0,40.0,"/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq","['/m/012n7d', '/m/03j1ly', '/m/03kmc9', '/m/04qvtq']","['Sounds of things', 'Sounds of things', 'Sounds of things', 'Sounds of things']",4,4
2774,6F6-t75PGFU,140.0,150.0,"/m/04gxbd,/m/07yv9,/m/0k4j","['/m/04gxbd', '/m/07yv9', '/m/0k4j']","['Sounds of things', 'Sounds of things', 'Sounds of things']",3,3
2775,6FBFBJQ_Fjw,30.0,40.0,"/m/04rlf,/m/05w3f","['/m/04rlf', '/m/05w3f']","['Music', 'Music']",2,2
2776,6FEqX_uqGE4,0.0,7.0,"/m/02dgv,/m/07r4wb8,/m/09x0r","['/m/02dgv', '/m/07r4wb8', '/m/09x0r']","['Sounds of things', 'Sounds of things', 'Human Sounds']",3,3
2777,6FGjeTRlgZM,230.0,240.0,/m/01x3z,['/m/01x3z'],['Sounds of things'],1,1
2778,6FQ1nQ0FvgQ,30.0,40.0,"/m/04rlf,/m/0l14jd,/t/dd00003","['/m/04rlf', '/m/0l14jd', '/t/dd00003']","['Music', 'Human Sounds', 'Human Sounds']",3,3
2779,6FUNTPPItAs,30.0,40.0,/t/dd00005,['/t/dd00005'],['Human Sounds'],1,1
2780,6FcV7mnutxc,17.0,27.0,/m/07r4gkf,['/m/07r4gkf'],['Animal'],1,1
2781,6Fw_59nwKfg,140.0,150.0,"/m/06hps,/m/07r4gkf","['/m/06hps', '/m/07r4gkf']","['Animal', 'Animal']",2,2
2782,6GBSVyrT3XQ,30.0,40.0,"/m/02l6bg,/m/07yv9","['/m/02l6bg', '/m/07yv9']","['Sounds of things', 'Sounds of things']",2,2
2783,6GMAVpfbGmM,60.0,70.0,"/m/01d3sd,/m/068hy,/m/07ppn3j,/m/0bt9lr,/m/0jbk","['/m/01d3sd', '/m/068hy', '/m/07ppn3j', '/m/0bt9lr', '/m/0jbk']","['Human Sounds', 'Animal', 'Human Sounds', 'Animal', 'Animal']",5,5
2784,6Gkq_d6T2TQ,150.0,160.0,"/m/07qs1cx,/m/09x0r","['/m/07qs1cx', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
2785,6GsDmcHxwtc,4.0,14.0,"/m/07qh7jl,/t/dd00077","['/m/07qh7jl', '/t/dd00077']","['Source-ambiguous sounds', 'Sounds of things']",2,2
2786,6HQqly6duac,210.0,220.0,"/m/012xff,/m/04rlf,/m/04szw,/m/0l14md","['/m/012xff', '/m/04rlf', '/m/04szw', '/m/0l14md']","['Sounds of things', 'Music', 'Music', 'Music']",4,4
2787,6H_nZPUGf8o,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00003","['/m/04rlf', '/m/09x0r', '/t/dd00003']","['Music', 'Human Sounds', 'Human Sounds']",3,3
2788,6I-EyYMpT44,10.0,20.0,"/m/03m5k,/m/0d8_n","['/m/03m5k', '/m/0d8_n']","['Music', 'Music']",2,2
2789,6I-agcg-gTs,30.0,40.0,"/m/04rlf,/m/07q0h5t","['/m/04rlf', '/m/07q0h5t']","['Music', 'Animal']",2,2
2790,6II4JGJDyZo,310.0,320.0,"/m/015lz1,/m/028sqc,/m/04rlf,/m/064t9,/m/07q7njn","['/m/015lz1', '/m/028sqc', '/m/04rlf', '/m/064t9', '/m/07q7njn']","['Human Sounds', 'Music', 'Music', 'Music', 'Sounds of things']",5,5
2791,6ILTmnfHyl8,190.0,200.0,"/m/03cl9h,/m/04rlf,/m/09x0r","['/m/03cl9h', '/m/04rlf', '/m/09x0r']","['Sounds of things', 'Music', 'Human Sounds']",3,3
2792,6I_DKO4hej8,27.0,37.0,/m/07rbp7_,['/m/07rbp7_'],['Source-ambiguous sounds'],1,1
2793,6Idpdc342do,320.0,330.0,"/m/05rj2,/m/09x0r,/t/dd00125","['/m/05rj2', '/m/09x0r', '/t/dd00125']","['Sounds of things', 'Human Sounds', 'Channel environment and background']",3,3
2794,6J0Emf3BQ8k,40.0,50.0,"/m/07mzm6,/m/09x0r","['/m/07mzm6', '/m/09x0r']","['Human Sounds', 'Human Sounds']",2,2
2795,6J1gScD4AZU,70.0,80.0,"/m/09x0r,/m/0fqfqc","['/m/09x0r', '/m/0fqfqc']","['Human Sounds', 'Sounds of things']",2,2
2796,6J58hk6MMfE,120.0,130.0,/m/0j2kx,['/m/0j2kx'],['Natural Sounds'],1,1
2797,6JHiuDM8UoY,30.0,40.0,/m/030rvx,['/m/030rvx'],['Sounds of things'],1,1
2798,6JJMlY3Go9s,30.0,40.0,"/m/0155w,/m/04rlf","['/m/0155w', '/m/04rlf']","['Music', 'Music']",2,2
2799,6JXXQGX5Osg,30.0,40.0,/m/02y_763,['/m/02y_763'],['Sounds of things'],1,1
2800,6Jq6aI9p4bg,10.0,20.0,"/m/01jt3m,/m/0838f","['/m/01jt3m', '/m/0838f']","['Sounds of things', 'Natural Sounds']",2,2
2801,6KXd7l5pThg,30.0,40.0,"/m/02bxd,/m/04rlf","['/m/02bxd', '/m/04rlf']","['Music', 'Music']",2,2
2802,6KbBcOZL7FM,0.0,10.0,"/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t","['/m/025rv6n', '/m/07qn5dc', '/m/07st89h', '/m/09b5t']","['Animal', 'Animal', 'Animal', 'Animal']",4,4
2803,6KbzHKXLEmE,20.0,30.0,"/m/04rlf,/m/04rzd","['/m/04rlf', '/m/04rzd']","['Music', 'Music']",2,2
2804,6KknUgdsPxw,160.0,170.0,"/g/122z_qxw,/m/09x0r,/m/0g6b5,/t/dd00128","['/g/122z_qxw', '/m/09x0r', '/m/0g6b5', '/t/dd00128']","['Sounds of things', 'Human Sounds', 'Sounds of things', 'Channel environment and background']",4,4
2805,6L-pR2R6lY8,0.0,9.0,/m/07phhsh,['/m/07phhsh'],['Source-ambiguous sounds'],1,1
2806,6L3hgqmvU_8,0.0,10.0,"/m/07sx8x_,/m/09x0r,/t/dd00125","['/m/07sx8x_', '/m/09x0r', '/t/dd00125']","['Animal', 'Human Sounds', 'Channel environment and background']",3,3
2807,6L8066DGqcA,210.0,220.0,"/m/01hgjl,/m/04rlf,/m/07qb_dv,/m/0cfdd","['/m/01hgjl', '/m/04rlf', '/m/07qb_dv', '/m/0cfdd']","['Music', 'Music', 'Source-ambiguous sounds', 'Music']",4,4
2808,6L8bljNWiwU,10.0,20.0,"/m/015p6,/m/020bb7,/m/07pggtn","['/m/015p6', '/m/020bb7', '/m/07pggtn']","['Animal', 'Animal', 'Animal']",3,3
2809,6L9ihlpkB9U,10.0,20.0,/m/02z32qm,['/m/02z32qm'],['Sounds of things'],1,1
2810,6LLTLAVy6L4,30.0,40.0,"/m/039jq,/m/04rlf,/m/04szw,/m/07q7njn","['/m/039jq', '/m/04rlf', '/m/04szw', '/m/07q7njn']","['Sounds of things', 'Music', 'Music', 'Sounds of things']",4,4
2811,6M2lNShlcYw,30.0,40.0,"/m/07pc8lb,/m/09x0r","['/m/07pc8lb', '/m/09x0r']","['Source-ambiguous sounds', 'Human Sounds']",2,2
2812,6MCy1lh4qaw,20.0,30.0,"/m/04_sv,/m/07qnq_y,/m/07yv9,/m/09x0r","['/m/04_sv', '/m/07qnq_y', '/m/07yv9', '/m/09x0r']","['Sounds of things', 'Sounds of things', 'Sounds of things', 'Human Sounds']",4,4
2813,6MDGO4wqvPM,40.0,50.0,"/m/0642b4,/m/09x0r,/m/0fqfqc","['/m/0642b4', '/m/09x0r', '/m/0fqfqc']","['Sounds of things', 'Human Sounds', 'Sounds of things']",3,3
2814,6MIQDwaF2K4,140.0,150.0,"/m/07rrh0c,/m/09x0r","['/m/07rrh0c', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
2815,6Mbj6Rt0CBs,220.0,230.0,"/m/04rlf,/t/dd00036","['/m/04rlf', '/t/dd00036']","['Music', 'Music']",2,2
2816,6MkGsDIbUCk,30.0,40.0,"/m/09x0r,/m/0fqfqc","['/m/09x0r', '/m/0fqfqc']","['Human Sounds', 'Sounds of things']",2,2
2817,6Ms_LHohgQE,200.0,210.0,/m/0dl5d,['/m/0dl5d'],['Music'],1,1
2818,6NAqjI_sKew,60.0,70.0,/m/05_wcq,['/m/05_wcq'],['Animal'],1,1
2819,6NIzv0zRKyE,10.0,20.0,"/m/04rlf,/m/07s04w4,/m/09x0r","['/m/04rlf', '/m/07s04w4', '/m/09x0r']","['Music', 'Human Sounds', 'Human Sounds']",3,3
2820,6NYoOqzY5EE,30.0,40.0,"/m/02y_763,/m/09x0r","['/m/02y_763', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
2821,6O4Zpv-cAXY,0.0,7.0,"/m/014zdl,/m/09x0r","['/m/014zdl', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
2822,6OHetw29o_A,0.0,10.0,"/m/06mb1,/m/0jb2l,/m/0ngt1","['/m/06mb1', '/m/0jb2l', '/m/0ngt1']","['Natural Sounds', 'Natural Sounds', 'Natural Sounds']",3,3
2823,6OVb3rjcB3Q,570.0,580.0,"/m/01jnbd,/m/02rr_,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/06by7,/m/0fx80y","['/m/01jnbd', '/m/02rr_', '/m/02sgy', '/m/0342h', '/m/04rlf', '/m/04szw', '/m/06by7', '/m/0fx80y']","['Channel environment and background', 'Sounds of things', 'Music', 'Music', 'Music', 'Music', 'Music', 'Music']",8,8
2824,6OY-O-vBrS8,240.0,250.0,"/m/07qcx4z,/m/09x0r","['/m/07qcx4z', '/m/09x0r']","['Source-ambiguous sounds', 'Human Sounds']",2,2
2825,6OcoDIrbMtY,130.0,140.0,"/m/01lyv,/m/04rlf,/m/0gg8l","['/m/01lyv', '/m/04rlf', '/m/0gg8l']","['Music', 'Music', 'Music']",3,3
2826,6P26cAGGgI0,30.0,40.0,"/m/02l6bg,/m/09x0r","['/m/02l6bg', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
2827,6PWiDlWmPs0,30.0,40.0,"/m/03_d0,/m/04rlf,/m/06j6l","['/m/03_d0', '/m/04rlf', '/m/06j6l']","['Music', 'Music', 'Music']",3,3
2828,6PoiNnbAfz4,5.0,15.0,"/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t","['/m/025rv6n', '/m/07qn5dc', '/m/07st89h', '/m/09b5t']","['Animal', 'Animal', 'Animal', 'Animal']",4,4
2829,6PquRVe1Wa4,310.0,320.0,"/m/01p970,/m/026t6,/m/0l14md","['/m/01p970', '/m/026t6', '/m/0l14md']","['Music', 'Music', 'Music']",3,3
2830,6Psvd-kYb-0,50.0,60.0,"/m/07rjzl8,/m/09x0r","['/m/07rjzl8', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
2831,6Q3bYo2UN8M,320.0,330.0,"/m/07pyy8b,/m/09x0r","['/m/07pyy8b', '/m/09x0r']","['Human Sounds', 'Human Sounds']",2,2
2832,6QAJi8OPLi4,250.0,260.0,/m/01d3sd,['/m/01d3sd'],['Human Sounds'],1,1
2833,6QAZJ4H_5rA,50.0,60.0,"/m/01b9nn,/m/01jnbd,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/07m2kt,/m/0fx80y,/m/0g12c5","['/m/01b9nn', '/m/01jnbd', '/m/02rr_', '/m/0342h', '/m/04rlf', '/m/04szw', '/m/07m2kt', '/m/0fx80y', '/m/0g12c5']","['Channel environment and background', 'Channel environment and background', 'Sounds of things', 'Music', 'Music', 'Music', 'Sounds of things', 'Music', 'Channel environment and background']",9,9
2834,6QCcY4zycIg,40.0,50.0,"/m/01g50p,/m/0284vy3,/m/06d_3,/m/07jdr","['/m/01g50p', '/m/0284vy3', '/m/06d_3', '/m/07jdr']","['Sounds of things', 'Sounds of things', 'Sounds of things', 'Sounds of things']",4,4
2835,6QHfXuVLhe0,170.0,180.0,"/m/015lz1,/m/02mscn,/m/04rlf","['/m/015lz1', '/m/02mscn', '/m/04rlf']","['Human Sounds', 'Music', 'Music']",3,3
2836,6QcAmUpe8FQ,30.0,40.0,"/m/02p0sh1,/m/04rlf","['/m/02p0sh1', '/m/04rlf']","['Music', 'Music']",2,2
2837,6QnEwCnKdP4,80.0,90.0,"/m/01280g,/m/04rlf,/m/0jbk","['/m/01280g', '/m/04rlf', '/m/0jbk']","['Animal', 'Music', 'Animal']",3,3
2838,6Qzlke1phUs,30.0,40.0,"/m/0150b9,/m/016622","['/m/0150b9', '/m/016622']","['Music', 'Music']",2,2
2839,6R7-SJPID_I,30.0,40.0,/m/0fx9l,['/m/0fx9l'],['Sounds of things'],1,1
2840,6R7__52vkro,30.0,40.0,"/m/013y1f,/m/03gvt","['/m/013y1f', '/m/03gvt']","['Music', 'Music']",2,2
2841,6R8mmrJvXgc,220.0,230.0,"/m/07rn7sz,/m/09x0r","['/m/07rn7sz', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
2842,6RSeGgCFTXs,30.0,40.0,"/m/09x0r,/m/0btp2","['/m/09x0r', '/m/0btp2']","['Human Sounds', 'Sounds of things']",2,2
2843,6R_63fbeiR0,590.0,600.0,"/m/04rlf,/m/06bz3","['/m/04rlf', '/m/06bz3']","['Music', 'Channel environment and background']",2,2
2844,6RcxitW4w1U,20.0,30.0,"/m/07rknqz,/m/07yv9,/m/0k4j,/m/0ltv","['/m/07rknqz', '/m/07yv9', '/m/0k4j', '/m/0ltv']","['Sounds of things', 'Sounds of things', 'Sounds of things', 'Sounds of things']",4,4
2845,6RmVECh3_YQ,120.0,130.0,"/m/01hgjl,/m/02lkt,/m/04rlf,/m/0glt670","['/m/01hgjl', '/m/02lkt', '/m/04rlf', '/m/0glt670']","['Music', 'Music', 'Music', 'Music']",4,4
2846,6SC9tBvtYSg,230.0,240.0,"/m/06xkwv,/m/07rcgpl,/m/07rgkc5","['/m/06xkwv', '/m/07rcgpl', '/m/07rgkc5']","['Channel environment and background', 'Source-ambiguous sounds', 'Channel environment and background']",3,3
2847,6SVYB92Dx1E,30.0,40.0,"/m/04k94,/m/07p6mqd","['/m/04k94', '/m/07p6mqd']","['Sounds of things', 'Sounds of things']",2,2
2848,6ShN0h4HCd0,210.0,220.0,"/m/04rlf,/m/09x0r,/m/0llzx","['/m/04rlf', '/m/09x0r', '/m/0llzx']","['Music', 'Human Sounds', 'Sounds of things']",3,3
2849,6Si3eGkmmy8,410.0,420.0,"/m/015lz1,/m/026t6,/m/04rlf,/m/0l14md,/m/0xzly","['/m/015lz1', '/m/026t6', '/m/04rlf', '/m/0l14md', '/m/0xzly']","['Human Sounds', 'Music', 'Music', 'Music', 'Music']",5,5
2850,6Sx8lqm2Lw0,20.0,30.0,"/m/015lz1,/m/04rlf,/m/0b_fwt","['/m/015lz1', '/m/04rlf', '/m/0b_fwt']","['Human Sounds', 'Music', 'Sounds of things']",3,3
2851,6T5SLgKd8gg,4.0,14.0,/m/07r_k2n,['/m/07r_k2n'],['Animal'],1,1
2852,6T6P0S7B75o,560.0,570.0,"/m/07rgt08,/m/09x0r","['/m/07rgt08', '/m/09x0r']","['Human Sounds', 'Human Sounds']",2,2
2853,6THFGWLEn7w,230.0,240.0,/m/01z7dr,['/m/01z7dr'],['Music'],1,1
2854,6Td-aurNjCU,30.0,40.0,"/m/07qmpdm,/m/09x0r","['/m/07qmpdm', '/m/09x0r']","['Source-ambiguous sounds', 'Human Sounds']",2,2
2855,6Tf5IwOHBlw,370.0,380.0,"/m/03m5k,/m/0d8_n","['/m/03m5k', '/m/0d8_n']","['Music', 'Music']",2,2
2856,6U-ZfyX5EwY,450.0,460.0,"/m/07plz5l,/m/09x0r","['/m/07plz5l', '/m/09x0r']","['Human Sounds', 'Human Sounds']",2,2
2857,6UINBP6cmC8,140.0,150.0,"/m/02p01q,/m/07pdjhy","['/m/02p01q', '/m/07pdjhy']","['Sounds of things', 'Source-ambiguous sounds']",2,2
2858,6UOObVAQS_M,30.0,40.0,"/m/03vt0,/m/09f96,/m/0h2mp","['/m/03vt0', '/m/09f96', '/m/0h2mp']","['Animal', 'Animal', 'Animal']",3,3
2859,6UZVovkR3IU,30.0,40.0,"/m/07r04,/m/07yv9,/m/0gvgw0","['/m/07r04', '/m/07yv9', '/m/0gvgw0']","['Sounds of things', 'Sounds of things', 'Sounds of things']",3,3
2860,6UacTvRX8Dw,1.0,11.0,"/m/07rqsjt,/m/0c1dj","['/m/07rqsjt', '/m/0c1dj']","['Sounds of things', 'Source-ambiguous sounds']",2,2
2861,6UcUzENeSo0,30.0,40.0,/m/01s0vc,['/m/01s0vc'],['Sounds of things'],1,1
2862,6Uzg7LKxi_Q,30.0,40.0,/m/030rvx,['/m/030rvx'],['Sounds of things'],1,1
2863,6V-oG-YZiX4,0.0,10.0,"/m/04rlf,/m/07phhsh","['/m/04rlf', '/m/07phhsh']","['Music', 'Source-ambiguous sounds']",2,2
2864,6V0FOIcFA6o,550.0,560.0,"/m/07pdhp0,/t/dd00125","['/m/07pdhp0', '/t/dd00125']","['Human Sounds', 'Channel environment and background']",2,2
2865,6V2NVMgi3cg,30.0,40.0,/m/07pxg6y,['/m/07pxg6y'],['Sounds of things'],1,1
2866,6V7kfAHv_GM,180.0,190.0,/m/07rqsjt,['/m/07rqsjt'],['Sounds of things'],1,1
2867,6VI7BPX3Ey4,30.0,40.0,/m/07qmpdm,['/m/07qmpdm'],['Source-ambiguous sounds'],1,1
2868,6VOGlqLeOzI,30.0,40.0,"/m/09x0r,/m/0dl9sf8","['/m/09x0r', '/m/0dl9sf8']","['Human Sounds', 'Human Sounds']",2,2
2869,6VV5Amm51C8,230.0,240.0,"/m/07pqc89,/m/09x0r","['/m/07pqc89', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
2870,6WJitOS-RHw,110.0,120.0,"/m/03wwcy,/m/09x0r","['/m/03wwcy', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
2871,6WMGrOwoWIw,40.0,50.0,"/m/068hy,/m/068zj,/m/0jbk","['/m/068hy', '/m/068zj', '/m/0jbk']","['Animal', 'Animal', 'Animal']",3,3
2872,6WX4cEj7sTc,400.0,410.0,"/m/09x0r,/m/0jbk,/m/0ytgt,/t/dd00129,/t/dd00136","['/m/09x0r', '/m/0jbk', '/m/0ytgt', '/t/dd00129', '/t/dd00136']","['Human Sounds', 'Animal', 'Human Sounds', 'Channel environment and background', 'Animal']",5,5
2873,6Wamq3ehaAU,30.0,40.0,/m/02yds9,['/m/02yds9'],['Animal'],1,1
2874,6WiolwEwStI,530.0,540.0,/m/0d31p,['/m/0d31p'],['Sounds of things'],1,1
2875,6WkNa8RbL9E,330.0,340.0,"/m/04rlf,/m/07rrh0c,/m/09x0r","['/m/04rlf', '/m/07rrh0c', '/m/09x0r']","['Music', 'Sounds of things', 'Human Sounds']",3,3
2876,6Wt-JJ3JpzE,50.0,60.0,"/m/07pqc89,/m/09x0r","['/m/07pqc89', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
2877,6WxotC_jtqY,29.0,39.0,"/m/04rlf,/t/dd00004,/t/dd00006","['/m/04rlf', '/t/dd00004', '/t/dd00006']","['Music', 'Human Sounds', 'Human Sounds']",3,3
2878,6X5vLMqdKZo,11.0,21.0,"/m/02fxyj,/m/02zsn","['/m/02fxyj', '/m/02zsn']","['Human Sounds', 'Human Sounds']",2,2
2879,6X6wb0FC6Fg,540.0,550.0,"/m/07qnq_y,/m/09x0r","['/m/07qnq_y', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
2880,6XHdybfV5Cw,30.0,40.0,"/m/04rlf,/m/05rwpb,/t/dd00035","['/m/04rlf', '/m/05rwpb', '/t/dd00035']","['Music', 'Music', 'Music']",3,3
2881,6XHoJkMHZno,30.0,40.0,"/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r","['/m/02rhddq', '/m/07r04', '/m/07yv9', '/m/09x0r']","['Sounds of things', 'Sounds of things', 'Sounds of things', 'Human Sounds']",4,4
2882,6XN9trtsQGo,30.0,40.0,"/m/07qjznl,/m/07qjznt,/m/09x0r","['/m/07qjznl', '/m/07qjznt', '/m/09x0r']","['Sounds of things', 'Sounds of things', 'Human Sounds']",3,3
2883,6XOsBs2rZRg,30.0,40.0,"/m/07qz6j3,/m/09x0r,/t/dd00002","['/m/07qz6j3', '/m/09x0r', '/t/dd00002']","['Human Sounds', 'Human Sounds', 'Human Sounds']",3,3
2884,6XPEinEJApU,10.0,20.0,/m/01g90h,['/m/01g90h'],['Human Sounds'],1,1
2885,6XZGmRuaOfo,30.0,40.0,"/m/01s0ps,/m/05148p4,/m/05r5c","['/m/01s0ps', '/m/05148p4', '/m/05r5c']","['Music', 'Music', 'Music']",3,3
2886,6XiVOflQITo,0.0,10.0,"/m/07rn7sz,/m/09x0r","['/m/07rn7sz', '/m/09x0r']","['Sounds of things', 'Human Sounds']",2,2
