YTID,start_seconds,end_seconds,positive_labels
6cX2K0UTgjU,540.0,550.0,"/m/05x_td,/m/07qv_d5,/m/0912c9,/m/09x0r"
6e-P6SURVDE,270.0,280.0,"/m/01h3n,/m/03vt0,/m/0h2mp"
6eheimUOP48,30.0,40.0,"/m/0192l,/m/085jw"
6gNh2E4xn3E,30.0,40.0,"/m/04rlf,/t/dd00003"
6gp2JgYGCKM,40.0,50.0,"/m/0283d,/m/04rlf"
6h-AybJcyAs,30.0,40.0,"/m/015lz1,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y,/m/0xzly"
6hC-XKBcUI0,8.0,18.0,/m/07qjznl
6hb0PdtXhvA,80.0,90.0,"/m/07qfr4h,/m/09x0r"
6hfpIRmdn40,0.0,10.0,/m/0ln16
6iDl6L0WsdA,140.0,150.0,"/m/04rlf,/m/09x0r,/t/dd00121"
6npxrceKQyQ,370.0,380.0,"/m/06xkwv,/m/07rcgpl"
6ouRyaMTAVY,7.0,17.0,/m/07ryjzk
6pYhsjTUnIc,21.0,31.0,"/m/04rlf,/m/07p6mqd,/m/09x0r"
6szBKwzI1oA,50.0,60.0,"/m/014yck,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j"
6u4Hhc3Ya3s,60.0,70.0,"/m/04rlf,/m/07qw_06"
6uau40iIjC0,200.0,210.0,/m/0lyf6
6v3wp68wBCE,50.0,60.0,/m/05_wcq
6vSSsSpWUDI,30.0,40.0,"/m/07s0dtb,/m/09x0r"
6zd0ygwnsGM,30.0,40.0,/m/07pp8cl
71Y6xnT_Cz4,210.0,220.0,"/m/09x0r,/t/dd00112"
73uN69-lXEE,70.0,80.0,"/m/02w4v,/m/04rlf"
74bgHaM43RU,10.0,20.0,"/m/03dnzn,/m/0838f"
770gRHwg1pA,20.0,30.0,/m/01g90h
782irv2y6W0,190.0,200.0,/m/03l9g
79_6qU6dI78,420.0,430.0,"/m/02p3nc,/m/09x0r"
7AiAK5YI-sw,0.0,10.0,"/m/0cj0r,/t/dd00129"
7EPlBrtzv74,170.0,180.0,"/m/0463cq4,/m/09x0r,/t/dd00125"
7Ew4nOmZuyY,30.0,40.0,"/m/04rlf,/m/07pjwq1,/m/09x0r"
7Kmr1givYEw,22.0,32.0,"/m/06hck5,/m/06wzb"
7Lmnfd5YJ1Y,30.0,40.0,"/m/04rlf,/m/06j64v"
7NHLMbytk5o,30.0,40.0,"/m/04rlf,/m/07pjwq1,/m/09x0r"
7NO4l181BSw,30.0,40.0,/m/07pn_8q
7P-1BJ1A9ME,2.0,12.0,/m/03wwcy
7PaOV4oC3eI,30.0,40.0,"/m/07qcpgn,/m/09x0r"
7Q-8A7HQWSc,30.0,40.0,"/m/03m5k,/m/0d8_n"
7SZFvCNKCNg,540.0,550.0,/m/07rn7sz
7SpYywlGPyM,30.0,40.0,"/m/09x0r,/m/0k65p,/m/0l15bq,/m/0ytgt"
7T5WSO115ZM,40.0,50.0,"/m/01qbl,/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md"
7TYGvfS1qtw,110.0,120.0,"/m/04rlf,/m/09x0r,/m/0jtg0"
7VRkh-80LEw,70.0,80.0,"/m/09x0r,/t/dd00112,/t/dd00125"
7WOBEB_l6I8,0.0,5.0,"/m/07st88b,/m/09ld4"
7X-Vqp7T9xI,40.0,50.0,"/m/07s0dtb,/m/09x0r,/m/0lyf6"
7XuIzJ7KGMs,40.0,50.0,"/m/07r660_,/m/07sq110,/m/0ytgt,/t/dd00125,/t/dd00128"
7_PrlSyBjfw,13.0,23.0,"/m/03kmc9,/m/07pp_mv"
7aCQ1x4XX1M,10.0,20.0,/m/07qcpgn
7azTIyaeqx4,0.0,10.0,"/m/068hy,/m/068zj,/m/0ch8v,/m/0jbk"
7azzA91qIVg,0.0,10.0,"/m/068hy,/m/07pyy8b,/m/0jbk"
7bdrH_w1uqA,130.0,140.0,/m/01hsr_
7bxEtiuLOsQ,500.0,510.0,"/m/04cvmfc,/m/04rlf,/m/09x0r"
7df2D_hHKeA,580.0,590.0,"/m/015vgc,/m/028sqc,/m/04rlf"
7gJeHNrtHh0,30.0,40.0,/m/07qw_06
7gPNQn6-Ri0,280.0,290.0,/m/04cvmfc
7iN8UMq_7JQ,110.0,120.0,"/m/01x3z,/t/dd00125"
7kKlbwXdBDQ,30.0,40.0,"/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00136"
7nrOZXbpXBo,110.0,120.0,"/m/03q5t,/m/05148p4"
7o_n7rdj8Vs,0.0,10.0,/m/07qqyl4
7oyIFjYsk7U,80.0,90.0,/m/01x3z
7p4-mAqt6NI,80.0,90.0,"/m/0cj0r,/m/0ytgt"
7pNq-KYg8QE,30.0,40.0,"/m/04rlf,/m/0m0jc"
7qaDquMlJzY,30.0,40.0,"/m/04rlf,/t/dd00031,/t/dd00034"
7udNv6dZTnk,50.0,60.0,"/m/0130jx,/m/07r5v4s"
7v6CK53SyKQ,30.0,40.0,/m/07s34ls
7y6SMvFdov8,0.0,10.0,"/m/0261r1,/m/09x0r"
7yayzo0VX6E,30.0,40.0,"/m/0155w,/m/04rlf"
7z2HQGq_eKE,9.0,19.0,/m/07q0yl5
80samHs909Y,10.0,20.0,"/m/01j3sz,/m/07p6fty,/m/09x0r"
81vJ4-5ToUg,30.0,40.0,"/m/02mk9,/m/07q2z82,/m/07yv9,/t/dd00130"
81xMhkd8lCI,40.0,50.0,"/m/01yrx,/m/02yds9,/m/068hy,/m/0jbk"
82BF5IrC07w,30.0,40.0,"/m/07pl1bw,/m/083vt"
82BJ6Fe3ZTo,260.0,270.0,"/m/04rlf,/m/07gxw,/m/07lnk"
82C3NRXggGk,30.0,40.0,"/m/068hy,/m/07r_k2n,/m/09x0r,/m/0jbk"
83rxTYKA3Eo,10.0,20.0,"/m/015lz1,/m/0z9c"
84zchlYA-8A,0.0,10.0,"/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t"
88GG7R6-f9Q,130.0,140.0,/m/0dl83
89LhCOx_9gc,10.0,20.0,"/m/02c8p,/m/09x0r,/t/dd00125"
89diUzrtgrw,120.0,130.0,"/m/024dl,/m/09x0r"
89hj7G1AWYY,30.0,40.0,"/m/032s66,/m/04zjc"
8AJGu3aOl2w,30.0,40.0,"/m/03_d0,/m/04rlf,/m/05r6t,/m/064t9,/m/0dl5d,/m/0dls3"
8B3cEMueaDc,250.0,260.0,/m/02_41
8BWIswlMEm8,140.0,150.0,"/m/04rlf,/m/07pws3f"
8D4L97zM7x4,60.0,70.0,"/m/032s66,/m/04zjc"
8EIs_fAUoYQ,20.0,30.0,/m/0dl83
8Ij3MzfyBxY,1.0,11.0,"/m/07st88b,/m/09ld4"
8JljQeDk8cY,300.0,310.0,/m/02_nn
8Jxf59gaA_k,30.0,40.0,"/m/04rlf,/m/07s8j8t,/m/07sbbz2"
8L4Qi6TjdiI,10.0,20.0,"/m/01hsr_,/m/07mzm6"
8LCbldfHczs,320.0,330.0,"/m/01j3sz,/m/07r660_,/m/07sq110,/m/09x0r"
8Mv69rlDCbU,20.0,30.0,"/m/01j3sz,/m/07sq110,/t/dd00001"
8N5XxcJ7QOU,20.0,30.0,"/m/01b_21,/m/04rlf,/m/07yv9,/m/09x0r,/m/0dl9sf8,/m/0k4j"
8Q8Xd-8idTk,190.0,200.0,"/m/01h3n,/m/03vt0,/m/0h2mp"
8TVgx-oXkWA,10.0,20.0,"/m/04rlf,/m/064t9,/m/06j6l,/m/07p78v5"
8TyBaWkeSUw,160.0,170.0,"/m/01jt3m,/m/0838f"
8UPNmrGfsAY,450.0,460.0,"/m/01280g,/m/0cdnk,/m/0jbk"
8UxgJtO6gU4,0.0,10.0,"/m/01p970,/m/026t6,/m/0l14md"
8XIsw5VBfLk,240.0,250.0,"/m/015lz1,/m/04rlf,/m/07q4ntr,/m/09x0r,/t/dd00126"
8aaG9UHDKbw,0.0,10.0,"/m/01g50p,/m/0284vy3,/m/06d_3,/m/07jdr"
8bogiM0sCGs,330.0,340.0,"/m/03cczk,/t/dd00125"
8cC4mv-9Res,70.0,80.0,"/m/07p6mqd,/m/09x0r,/m/0ytgt,/t/dd00128"
8ezpb8VoZ9Q,30.0,40.0,"/m/04rlf,/t/dd00034"
8fxzeFCUwWs,30.0,40.0,"/m/04rlf,/m/07pkxdp"
8kGi5lkxZWc,90.0,100.0,"/m/0155w,/m/01glhc,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y"
8n2adsU18BU,140.0,150.0,"/m/07plz5l,/m/07qcpgn,/m/09x0r"
8oBxzje16HU,30.0,40.0,"/m/03q5_w,/m/04rlf"
8rjeBrriB0c,30.0,40.0,"/m/06h7j,/m/09x0r,/t/dd00127,/t/dd00128"
8tAXbkGR_-c,30.0,40.0,"/m/04rlf,/m/07qjznl"
8t_2JvyuPn0,30.0,40.0,"/m/04rlf,/m/07gxw"
8u_gw7ZUpwU,30.0,40.0,"/m/04rlf,/t/dd00018"
8wpzhcVh5wM,28.0,38.0,/t/dd00018
8xA1afzXvQY,540.0,550.0,"/m/02c8p,/m/09x0r"
9-9J6nPdCN4,100.0,110.0,"/m/04rlf,/m/0ln16"
9-ZM0E1btNo,60.0,70.0,/m/07ryjzk
90WuJr2Me10,110.0,120.0,"/m/01z47d,/m/07cx4"
91Gqo2d-Ito,280.0,290.0,"/m/07q0yl5,/m/09x0r"
9332PjiYkhI,210.0,220.0,"/m/04k94,/m/09x0r"
96wvFLNGfRw,0.0,7.0,"/m/07r4wb8,/m/09x0r"
97PWYh5brJE,150.0,160.0,"/m/01xq0k1,/m/07rpkh9,/m/0ch8v"
97WDHopf1rA,100.0,110.0,"/m/078jl,/m/07rjwbb"
99LO31aXZcc,210.0,220.0,"/m/04rlf,/m/07q0yl5,/m/09x0r"
9Cx-qZZAyQg,30.0,40.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
9ESJhWfQaKo,310.0,320.0,/m/06bz3
9E_HGXuLslw,30.0,40.0,/m/0dl9sf8
9IRBsw2E-qw,330.0,340.0,"/m/03qtwd,/m/04gy_2"
9Idz7KMPEP4,6.0,16.0,/m/07p9k1k
9JrBWGrC4-Q,0.0,10.0,"/m/09x0r,/t/dd00002"
9KOVeB4rAQY,240.0,250.0,/m/01w250
9MX842-iIuU,30.0,40.0,"/m/04rlf,/t/dd00031"
9MpnpcCLvtM,400.0,410.0,/m/02w4v
9Mvg5bcwvRs,10.0,20.0,"/m/068zj,/m/09x0r,/m/0jbk"
9PSkAJ2eqnY,20.0,30.0,"/m/05r5wn,/m/07qn4z3"
9PyWiDtI0dw,30.0,40.0,"/m/0790c,/m/09x0r,/m/0chx_"
9RWKKKiG4_A,370.0,380.0,"/m/02c8p,/m/07cx4,/m/07qjznt,/m/09x0r"
9S1BddmLYMA,60.0,70.0,/m/01hsr_
9S9-smHVvaw,150.0,160.0,"/m/04rlf,/m/0gywn"
9VTl3KBJPXU,10.0,20.0,"/m/04rlf,/m/07p6fty,/m/09x0r"
9WAK0ufttVQ,40.0,50.0,/m/03wvsk
9YMiBYWy8vw,400.0,410.0,/m/0239kh
9YYMQCcK8VY,20.0,30.0,"/m/01hsr_,/m/09x0r"
9ZXylB7bgX8,30.0,40.0,"/m/01z7dr,/m/04rlf"
9bEc6mhrnLI,400.0,410.0,/m/03qc9zr
9bSycck3vkE,140.0,150.0,/m/02qmj0d
9cCvPng7sZs,30.0,40.0,"/m/042v_gx,/m/04rlf,/m/0b9m1"
9dzNWsw-W58,270.0,280.0,"/m/032s66,/m/04zjc,/m/073cg4"
9e_oy8KyCgU,400.0,410.0,/m/08p9q4
9gPyrJzct_Q,270.0,280.0,"/m/07k1x,/m/09x0r,/t/dd00065"
9iyQiuuF_CE,10.0,20.0,"/m/032s66,/m/073cg4"
9jUZDyUOqRg,180.0,190.0,"/m/07p7b8y,/m/09x0r,/t/dd00125"
9k22J638qjc,40.0,50.0,"/m/01jt3m,/m/0838f"
9mHCbvooMnk,330.0,340.0,"/m/012f08,/m/07hvw1,/m/07yv9,/m/0k4j"
9mm8Ls28j2E,110.0,120.0,"/m/04rlf,/m/07qs1cx,/t/dd00112"
9n3eI8HCxm8,90.0,100.0,/m/06hps
9o0Dg9GhEx8,490.0,500.0,/m/02z32qm
9qLMooHY12Y,0.0,10.0,"/m/04rlf,/m/0cfdd"
9qlE2Nj0d78,8.0,18.0,"/m/02y_763,/m/09x0r"
9rvi7aeLIeM,4.0,14.0,"/m/01jg02,/m/01jg1z"
9sX_nP5VBbA,30.0,40.0,"/m/01z7dr,/m/025td0t"
9tuceHq8HX4,260.0,270.0,/m/0brhx
9uyr2cHDfSc,1.0,11.0,/m/09t49
9x1jS5OMuJA,130.0,140.0,/m/05pd6
A5orLtocLMA,27.0,37.0,/m/0d31p
A7MEvndl2bo,30.0,40.0,"/m/02bk07,/m/04rlf"
A7NFtdX1FbU,50.0,60.0,"/m/07pyy8b,/m/09x0r"
A7WLWki4CjA,10.0,20.0,/m/07q7njn
A8CJ4YSsUgs,200.0,210.0,"/m/015lz1,/m/018j2,/m/04rlf,/m/04rzd,/m/064t9"
AB3JPnLZ_Q8,10.0,20.0,"/m/015lz1,/m/07rkbfh"
ABd5jU8TLB4,30.0,40.0,"/m/04rlf,/m/07pjwq1,/m/07s72n"
ACtaY0PX6Lk,30.0,40.0,"/m/04rlf,/m/07rgt08,/m/09x0r"
ALjgoKbg4h4,180.0,190.0,"/m/03j1ly,/m/03kmc9,/m/04qvtq"
AMIjyTnWQAM,220.0,230.0,"/m/096m7z,/m/09x0r"
AML-vh5DOVc,230.0,240.0,/m/01v_m0
ANEGhfyLvSA,30.0,40.0,"/m/04rlf,/m/0jtg0"
AQTtrao9Wvc,16.0,26.0,/m/02fxyj
ASZJ4bES8Kk,30.0,40.0,"/m/04rlf,/m/07bjf"
ASpHEHMNGNY,330.0,340.0,"/m/09x0r,/m/0c2wf,/t/dd00129"
AT8qq_qCiCk,30.0,40.0,"/m/0283d,/m/04rlf,/m/07s72n,/m/08cyft"
ATf3BbIGi6M,90.0,100.0,"/m/07plz5l,/m/09x0r,/t/dd00125"
ATv4yWqY0N8,30.0,40.0,"/m/09x0r,/t/dd00088"
AUF2dtKGH-o,30.0,40.0,"/m/0145m,/m/0164x2,/m/04rlf,/m/06cqb"
AVH1UWCXkbA,10.0,20.0,"/m/03qc9zr,/m/07c52"
AWStoVh8r3s,30.0,40.0,"/m/01s0vc,/m/09x0r"
AWu1Gy0dajM,30.0,40.0,"/m/02mk9,/m/07yv9,/t/dd00130"
AX0gK-owIMc,140.0,150.0,/m/0mkg
AXoYmzIVeuo,3.0,13.0,"/m/07qz6j3,/m/09x0r"
AYyX_Hj7aSU,21.0,31.0,"/m/0c1dj,/m/0gy1t2s"
A_gCnyI9LkY,100.0,110.0,"/m/02qmj0d,/m/05pd6"
AazEalrc1nE,30.0,40.0,"/m/015lz1,/m/04rlf,/m/064t9,/m/06j6l"
AbWy9LUeDGE,50.0,60.0,"/m/096m7z,/m/0cj0r"
AcIe0CzLg60,0.0,10.0,"/m/07c52,/m/09x0r"
AgtjkahTVVw,170.0,180.0,/m/01g90h
AjxTxv06KNU,460.0,470.0,"/m/01h3n,/m/03vt0,/m/0h2mp"
AqEKRa-YIis,60.0,70.0,"/m/01jt3m,/m/0838f"
AriWjU24Wgc,350.0,360.0,/m/04229
Arx-VzOR4O8,30.0,40.0,"/m/03k3r,/m/04rlf,/m/07q5rw0,/m/09x0r,/m/0jbk"
AsAoyL1GXQc,160.0,170.0,"/m/024dl,/m/09x0r"
AtAMCrBszqk,240.0,250.0,/m/0mbct
AuamD1PgG5I,60.0,70.0,"/m/07bjf,/m/09x0r,/t/dd00126"
AvwdLQP-Mlg,0.0,1.0,/m/07q6cd_
AvyB5a_HcFM,110.0,120.0,"/m/06_y0by,/m/09x0r"
AwgJLNHUViU,60.0,70.0,"/m/015lz1,/m/04rlf,/m/05r5c,/m/0ggq0m"
AxMMB8fgXPI,20.0,30.0,"/m/03v3yw,/m/09x0r"
Ay3aLiIhTv0,210.0,220.0,"/m/07pp8cl,/m/09x0r,/t/dd00125"
B6Bgv9gGCmY,370.0,380.0,/m/0150b9
B6WIVlPDou4,0.0,10.0,"/m/04rlf,/m/0939n_,/m/09x0r"
B6ginKdsPRE,120.0,130.0,"/m/01hsr_,/m/09x0r"
B6ztq8nBfBU,20.0,30.0,/m/02rtxlg
B8dq3Zi_NDA,30.0,40.0,"/m/01hsr_,/m/09x0r,/t/dd00128"
B9rbaii1uZg,230.0,240.0,"/m/07sq110,/m/09x0r,/t/dd00125"
BFTUm16hXWE,0.0,9.0,"/m/046dlr,/m/04rlf"
BFti0v_mGeM,390.0,400.0,/m/0j6m2
BGK47EibWeQ,110.0,120.0,"/m/04rlf,/m/07pyy8b"
BGag_9faOuA,7.0,17.0,/m/0912c9
BJ_tFJ1tRBE,30.0,40.0,"/m/04rlf,/m/05lls,/m/05rwpb"
BMewJbyURIQ,30.0,40.0,"/m/04rlf,/m/07sx8x_"
BQVFuSbSrgs,30.0,40.0,"/m/01bjv,/m/04rlf,/m/07yv9"
BRKKO44P6Oc,20.0,30.0,/m/01g90h
BTZiBsqBMWo,250.0,260.0,/m/0d31p
BUJOxuj4MXU,30.0,40.0,"/m/07q0yl5,/m/09x0r"
BV49gEN-0l0,60.0,70.0,"/m/03kmc9,/m/0dgbq"
BW25L9uMX0Q,270.0,280.0,"/m/028ght,/m/09x0r"
BWiuLxul3v4,20.0,30.0,"/m/07pp8cl,/m/09x0r"
BWu9Knb6Q2Q,0.0,10.0,"/m/07rjzl8,/m/09x0r"
BXzfYZoN9oc,40.0,50.0,"/m/04_sv,/m/05x_td,/m/07yv9,/m/0912c9"
BY0UIqOdiJE,10.0,20.0,"/m/07rdhzs,/m/07ryjzk"
BY6Ycw90S7g,260.0,270.0,"/m/06_y0by,/m/09x0r"
BYdBPbSYSvg,30.0,40.0,/m/01jg1z
BZBo4-2ULMA,30.0,40.0,"/m/02p0sh1,/m/04rlf"
Bdu2CGe1uyw,130.0,140.0,/m/01s0vc
BeAPmtJjv84,80.0,90.0,"/m/01280g,/m/09x0r,/m/0cdnk,/m/0jbk,/t/dd00129"
Bf1ZcAKkeUc,30.0,40.0,"/m/07qcpgn,/m/09x0r"
BfBp-33aXDs,30.0,40.0,"/m/04rlf,/m/07q4ntr"
Bfi4uylYUFo,100.0,110.0,/m/012xff
BiIRK96m0Ho,30.0,40.0,"/m/01kcd,/m/06ncr,/m/085jw"
BicuOQEwE2E,20.0,30.0,/m/07r5v4s
BjKTGhSeGyE,30.0,40.0,"/m/03kmc9,/m/0dgbq"
BkObUW1WDhE,170.0,180.0,"/m/01m2v,/m/09x0r"
BlKWixPC-xw,30.0,40.0,"/m/04rlf,/m/06cqb,/m/06j6l"
BljxyYDZ_ZY,30.0,40.0,"/m/05r5wn,/m/09x0r"
BmF0NaiBp0I,30.0,40.0,/m/07r10fb
BmFBcMxFy7Q,110.0,120.0,"/m/03k3r,/m/07q5rw0,/m/09x0r,/m/0jbk"
Bmia-ls4RQk,80.0,90.0,/m/05_wcq
Bpfz1iGvbEM,510.0,520.0,"/m/026t6,/m/02k_mr,/m/0l14md"
BrTZo_kyvtc,30.0,40.0,"/m/03vt0,/m/09f96,/m/0h2mp"
Bt5H0VrPWBs,80.0,90.0,"/m/025wky1,/m/09x0r"
BxbP6bPXnng,30.0,40.0,"/m/03_d0,/m/04rlf"
C-maOauMFZU,1.0,11.0,"/m/015p6,/m/020bb7,/m/025rv6n,/m/07pggtn,/m/07qwf61,/m/0dbvp"
C0HtFvZC5W8,80.0,90.0,/m/018w8
C0YAnCOGvdk,260.0,270.0,"/m/04rlf,/t/dd00034"
C3A9A0myM4A,320.0,330.0,"/m/07rkbfh,/m/09x0r,/t/dd00126"
C4MIXvkfQ8I,30.0,40.0,"/m/01sm1g,/m/0l14md"
C5N5XQ7l_e8,20.0,30.0,"/m/04rlf,/m/07bjf,/m/0dv5r"
C5g9bxn3ZK8,160.0,170.0,/m/025wky1
C7ipCdLK60M,80.0,90.0,/m/0mbct
CB4c5mc0RkA,240.0,250.0,/m/06hck5
CCFYOw8keiI,100.0,110.0,"/m/085jw,/m/0l14l2"
CFVEd9Wq9m0,30.0,40.0,"/m/07plz5l,/m/09x0r"
CFgNAjfwmvw,6.0,16.0,/m/046dlr
CGdtIhYdBPk,120.0,130.0,"/m/07rgt08,/m/07s04w4,/m/09x0r"
CGqeMWwwgYU,24.0,34.0,/m/07qz6j3
CKhCVFaGMF0,20.0,30.0,"/m/085jw,/m/0l14l2"
CKogmNGkGHE,180.0,190.0,"/m/015lz1,/m/0326g,/m/04rlf,/m/09x0r,/m/0l15bq"
CLCJ7M3-bHU,20.0,30.0,"/m/07r5v4s,/m/0ytgt"
CMlNjekrpmg,0.0,10.0,"/m/01xq0k1,/m/07rpkh9,/m/0ch8v"
CMpfRTWVvWE,50.0,60.0,/m/0150b9
CMsVGRaDvHM,0.0,10.0,"/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t"
CNCie2yESE0,370.0,380.0,/m/05_wcq
CONgGb-D4Iw,30.0,40.0,"/m/01z5f,/m/068hy,/m/0bt9lr,/m/0jbk"
CRmOXocqKRo,0.0,10.0,"/m/07qwyj0,/m/0jb2l,/m/0ngt1"
CRpwWxdKWis,20.0,30.0,/m/07szfh9
CSDTI9Hpn7k,30.0,40.0,"/m/04rlf,/m/04s8yn,/m/07r5c2p"
CSfLyPhAxO4,310.0,320.0,"/m/02z32qm,/m/09x0r"
CUYyGU_I-S8,150.0,160.0,/m/01w250
CVBCHb30GsM,30.0,40.0,/m/030rvx
CYFviVZrLbk,150.0,160.0,"/m/04rlf,/m/07qsvvw,/m/09x0r"
CZmjSr9_TDM,30.0,40.0,"/m/015lz1,/m/028sqc,/m/04rlf,/m/064t9,/m/07p78v5"
Cc-W1gbe--U,30.0,40.0,/m/07qmpdm
CcUoNeNvHOc,210.0,220.0,/m/02pjr4
CeW3NLlstf4,170.0,180.0,"/m/03q5t,/m/05148p4,/m/05r5c"
Cf0nSdfdOmg,90.0,100.0,"/m/03qjg,/m/085jw"
CfKe3SB6L4E,110.0,120.0,"/m/07r660_,/m/09x0r,/m/0ytgt,/t/dd00125"
CgsIv8K3WUo,20.0,30.0,"/m/014yck,/t/dd00129"
CjzVs59SyQY,30.0,40.0,"/m/01yg9g,/m/09x0r"
CkYgI1cyaTg,480.0,490.0,/m/0dv5r
CmTBVTlArrI,30.0,40.0,"/m/01h82_,/m/02mk9,/m/07yv9"
CnK7EH2iEe0,30.0,40.0,"/m/04rlf,/m/06cqb"
Cp0UTM-IzjM,30.0,40.0,"/m/01z7dr,/m/04rlf,/m/07gxw,/m/07lnk"
CpBPzmIPIQE,0.0,10.0,"/m/02dgv,/m/0642b4,/m/07rjzl8,/m/0c1dj"
Cpvskfe75FM,30.0,40.0,"/m/019jd,/m/02rlv9"
CsIrlh05yeY,30.0,40.0,"/m/02w4v,/m/04rlf"
CsxWEdtk3LA,70.0,80.0,/m/0jtg0
Ct4iyhslGRs,320.0,330.0,/m/05w3f
Cv94R4JPywI,30.0,40.0,"/m/07pjwq1,/m/07s34ls"
CwOooX2g7nk,430.0,440.0,/m/07qc9xj
CybogaTGlV4,30.0,40.0,"/m/03dnzn,/m/0838f"
CzVKYr7Q44I,280.0,290.0,/m/0dxrf
D1hgHUMsBQQ,20.0,30.0,"/m/02mk9,/m/03p19w,/m/07yv9"
D7FY91p70mA,0.0,8.0,"/m/03vt0,/m/09f96,/m/0h2mp"
DACxW2-_UD0,50.0,60.0,"/m/04rlf,/t/dd00031"
DAU7ImBNu0g,50.0,60.0,"/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00136"
DFrhMfr0tAU,0.0,10.0,"/m/07qh7jl,/t/dd00077"
DHUBFtxya14,30.0,40.0,/m/07rqsjt
DIKFIlcXlB4,30.0,40.0,/m/0j2kx
DJldj5kHTbo,30.0,40.0,"/m/04rlf,/m/04wptg"
DJzTKZw6ytg,0.0,10.0,/m/07rqsjt
DKFz6eMHLfI,30.0,40.0,"/m/012n7d,/m/03j1ly,/m/03kmc9,/m/03qjg,/m/085jw"
DKgFX2hnBdo,30.0,40.0,"/m/07pc8lb,/m/09x0r"
DMzOzYeanGI,50.0,60.0,"/m/07cx4,/m/09x0r"
DPzoYrz6Mi8,150.0,160.0,"/m/05zppz,/m/07bjf,/m/09x0r,/m/0dv5r"
DS2qv8rglWA,250.0,260.0,"/m/03mb9,/m/04rlf"
DSI9gamPHmA,30.0,40.0,"/m/0283d,/m/04rlf,/m/07gxw,/m/07lnk,/m/07s72n,/m/0m0jc"
DUKD-JZ-Ols,70.0,80.0,"/m/026fgl,/m/0f8s22"
DVNhqn8z98Q,480.0,490.0,"/m/02c8p,/m/09x0r,/t/dd00125"
DVgGky_5TA0,20.0,30.0,"/m/04rlf,/m/05r6t"
DWSGJ-hG4RM,30.0,40.0,"/m/07c52,/m/09x0r"
DWfG2EoJ3TE,0.0,10.0,"/m/068zj,/m/0ch8v,/m/0jbk"
DYEQ8sM7wYI,20.0,30.0,"/m/07sq110,/t/dd00001,/t/dd00125"
DbQdgOVOjSU,30.0,40.0,"/m/01z7dr,/m/04rlf,/m/07szfh9,/m/0l14gg"
DbYWiXxzSSM,170.0,180.0,/m/027m70_
Dcv24uT0A9s,200.0,210.0,"/m/04rlf,/t/dd00032"
Dd0dbqaHF6o,280.0,290.0,"/m/04rlf,/m/0fd3y"
Dh2_kc58_1Q,110.0,120.0,"/m/01p970,/m/026t6,/m/0l14md"
DhmfGPyio3I,90.0,100.0,"/m/03cl9h,/m/04rlf"
Djvv2XXE7yA,30.0,40.0,"/m/085jw,/m/0l14l2"
DkAX5alhszM,30.0,40.0,"/m/03dnzn,/m/0838f"
DqEQgTviksM,10.0,20.0,/m/0fx9l
DrzVBDoneZI,40.0,50.0,"/m/018w8,/m/04rlf,/m/09x0r"
DvDvgdQBsvY,130.0,140.0,"/m/068zj,/m/09x0r,/m/0jbk"
DwqZwA1sDaQ,60.0,70.0,"/m/09x0r,/t/dd00127"
Dys9DJoFnGA,100.0,110.0,/m/0242l
E6ETVQXtoIk,250.0,260.0,/m/01w250
E9vVmkq9Puc,30.0,40.0,"/m/09x0r,/m/0brhx"
EAL2vM8INKI,0.0,10.0,/m/0c2wf
EApB0DJ3ECg,200.0,210.0,"/m/03p19w,/t/dd00128"
EBwiCVS_gBs,40.0,50.0,"/m/01b_21,/m/01hsr_,/m/068hy,/m/0bt9lr,/m/0jbk"
EENlHfnNRgg,0.0,8.0,"/m/09x0r,/m/0dv3j"
EEmK-U4soi4,30.0,40.0,"/m/068hy,/m/0ghcn6"
EHNjYIXO7x4,0.0,10.0,"/m/07r660_,/m/09x0r"
EJ6J61LelNI,30.0,40.0,"/m/04rlf,/t/dd00018"
EKhbvD6LQfU,510.0,520.0,/m/0jtg0
EMo5VRYZW0s,30.0,40.0,"/m/02cz_7,/m/09x0r"
EN5mN3xpQ-s,180.0,190.0,"/m/015lz1,/m/04rlf,/t/dd00003"
ENQHBEQwnqQ,30.0,40.0,"/m/01hsr_,/m/04rlf,/m/09x0r"
EO37fKGA9J0,13.0,23.0,"/m/07r4wb8,/m/09x0r"
EROPptk7IZE,200.0,210.0,"/m/04rlf,/m/07qdb04,/m/09x0r,/t/dd00125"
ESqZb7hY1S0,50.0,60.0,"/m/01z7dr,/m/04rlf,/m/0l14gg"
ESw7bibTj4A,30.0,40.0,"/m/04rlf,/m/05zppz,/m/09x0r"
ETAONbN_HT0,160.0,170.0,"/m/09x0r,/m/0dv5r,/t/dd00125"
